ticker,verified_as_of,data_quality,portfolio_facts,leasing_facts,customer_facts,capacity_power_facts,expansion_facts,source_links
ME8U.SI,2026-07-04,High - annual report microsite,"Mapletree Industrial Trust's 2025/2026 annual report says it had 136 properties and S$8.3 billion of AUM. The portfolio included 55 North American properties, including 13 data centers held through a joint venture, 79 Singapore properties, and two Japan properties.","Average overall portfolio occupancy was 91.3%. Singapore occupancy was 92.9%, Japan occupancy was 100.0%, and North American occupancy was 87.4%. Japan WALE was 13.7 years; North American WALE was 6.3 years.",The report discusses tenant and leasing activity but does not give a simple named hyperscaler table for this dashboard.,"MIT is an industrial REIT with a large data-center segment, not a pure MW developer. Its AUM mix shows Data Centres at 57.3% of AUM.",Important positives are data-center AUM weight and Japan stability. Risks are North American lease non-renewals and backfilling older enterprise data centers outside primary markets.,https://investor.mapletreeindustrialtrust.com/misc/ar2025-26/index.html
GMG.AX,2026-07-04,High - annual report / company page,"Goodman's 2025 annual report says total portfolio was A$85.6 billion, occupancy was 96.5%, and WALE was 5.0 years. Development work in progress was A$12.9 billion, with 57% in data centers.",Goodman does not provide a simple named tenant lease table for its data-center pipeline. The report says customers include hyperscalers and colocators needing power and fiber.,Customer categories are public; individual data-center customers are not listed in a clean public table in the checked sources.,"The annual report says Goodman had a 5.0 GW global data-center power bank across 13 major cities, with 2.7 GW secured and 2.3 GW in advanced procurement. It also had 130 MW of fully fitted data-center projects underway.","This is a high-quality industrial property developer/manager with huge data-center power optionality, but not a pure data-center REIT.",https://www.goodman.com/investor-centre/annual-reports;https://www.goodman.com/our-properties/data-centres;https://www.goodman.com/-/media/project/goodman/global/files/investor-centre/gmg-goodman-group/announcements/asx-announcements/2025/2-goodman-2025-annual-report.pdf?rev=2b1b30b1aa85467f9cbc79a9b24f018c
AZRG.TA,2026-07-04,High - annual report / presentation,"Azrieli is diversified real estate, but its data-center segment is real and mainly through Green Mountain. The 2025 annual report says the group operates in malls, offices, senior housing, rental housing, overseas real estate, and data centers.","Azrieli's Q4 2025 presentation says Green Mountain Global had 257 MW contracted, 148 MW billed, and 109 MW billed-but-not-booked across 7 sites in 3 countries.",The 2025 annual report names TikTok Norway AS as the customer for a Green Mountain Norway DC services agreement.,"The annual report says Green Mountain built a 90 MW campus in Norway for TikTok Norway AS and completed handover of the full 90 MW in 2024. It also says the customer exercised an option to increase capacity by another 30 MW to 120 MW, but that expansion was still under review.","This is one of the more specific indirect data-center stories: named customer, MW, and contracted MW. But the public ticker is still a diversified real-estate group.",https://azrieligroup.com/wp-content/uploads/2026/03/2025-Report.pdf;https://azrieligroup.com/wp-content/uploads/2026/03/Azrieli_Q4-2025_presentation_Eng_Final_19032026_1.pdf;https://greenmountain.no
BN4.SI,2026-07-04,High - annual report,"Keppel Ltd is a diversified asset manager/operator, not a pure data-center REIT. Its 2025 annual report says the Connectivity division expanded the data-center portfolio to over 800 MW in gross power capacity.","Keppel's report does not give a public ticker-level tenant lease table. Data-center leases sit in projects, funds, and REIT/fund vehicles.",No simple named customer table is provided for Keppel Ltd shareholders in the annual report. Do not assume tenant names.,"The report says Keppel expanded its Asia-Pacific data-center powerbank to over 1.0 GW, including a prime site near Melbourne earmarked for a future 720 MW AI data-center campus.","The pitch is powerbanking plus asset-management fees and capital recycling. It is indirect data-center exposure, with broader infrastructure risks.",https://www.keppel.com/file/investor-relations/annual-reports/ar2025/keppel-ltd-annual-report-2025.pdf;https://www.keppel.com/annualreport2025/
MAQ.AX,2026-07-04,High - annual report / investor presentations,"Macquarie Technology Group owns and operates Australian data-center, cloud, government, cyber, and telecom infrastructure. The 2025 annual report breaks out Macquarie Data Centres as a key business.",The FY25 presentation says 2 out of 3 major hyperscalers are customers. It also says IC3 Super West is on time and on budget.,"The presentation names customer groups, including hyperscalers, enterprise, government, SaaS companies, and carriers. It does not name the hyperscalers in the extracted text.",The annual report says IC3 Super West Phase 1 will deliver 6 MW of IT load by September 2026 and the facility has 47 MW approved capacity. It also says a new Sydney campus is expected to deliver more than 150 MW of IT load.,"This is a specific Australia data-center buildout story. Watch IC3 Super West delivery, 150+ MW campus approvals, funding, and customer conversion.",https://www.macquarietechnologygroup.com/wp-content/uploads/2025/10/2025-MAQ-Annual-Report.pdf;https://www.macquarietechnologygroup.com/wp-content/uploads/2025/08/FY25-Group-Investor-Presentation.pdf;https://www.macquarietechnologygroup.com/wp-content/uploads/2025/11/Nov-25-Investor-Day-Presentation.pdf
APLD,2026-07-04,High - SEC 10-K,"Applied Digital's FY2025 Form 10-K says it designs, develops, and operates data-center infrastructure for HPC and AI in North America. It has blockchain hosting and HPC hosting segments; cloud services were held for sale.","The 10-K says its Data Center Hosting segment served one crypto mining customer with about 2.5 years remaining and generated all FY2025 continuing revenue. For HPC, it entered two lease agreements for the first two Polaris Forge 1 buildings totaling 250 MW.","The filing supports signed HPC leasing, but it does not name the two HPC lease customers in the extracted text.","It operated Jamestown, ND at 106 MW and Ellendale, ND at 180 MW, about 286 MW total hosting capacity. Polaris Forge 1 is planned as 100 MW, 150 MW, and 150 MW buildings.",Big upside if Polaris Forge 1 converts to cash flow; high risk because current revenue was still crypto-hosting heavy in FY2025 and capex is large.,https://www.sec.gov/Archives/edgar/data/1144879/000114487925000021/apld-20250531.htm;https://ir.applieddigital.com/
IREN,2026-07-04,High - SEC 10-K plus official company release,"IREN's FY2025 Form 10-K says it has three Texas sites with grid connection agreements: Childress, Sweetwater 1, and Sweetwater 2. Childress is a 750 MW site with about 650 MW operating data-center capacity as of 30 Jun 2025.","The annual report says IREN is expanding into AI Cloud and possible colocation services. A later IREN company release on 3 Nov 2025 says Microsoft signed a five-year GPU cloud services contract with about $9.7 billion total contract value, including a 20% prepayment.","The FY2025 annual report does not name Microsoft. The later IREN company release names Microsoft. Treat Microsoft as confirmed by the company release, not by the annual report.","The 10-K says Horizon 1 at Childress is a direct-to-chip liquid-cooling deployment with up to 50 MW IT load, targeting energization by the end of calendar 2025. The IREN release says Microsoft GPUs are expected to deploy through 2026 at Childress with new liquid-cooled data centers supporting 200 MW of critical IT load across Horizon 1-4.",Very high upside because power-secured sites can move from bitcoin mining to AI/HPC. Very high risk because it needs huge GPU/capex funding and the stock may already price in a lot.,https://www.sec.gov/Archives/edgar/data/1878848/000187884825000063/iren-20250630.htm;https://www.globenewswire.com/news-release/2025/11/03/3178993/0/en/IREN-Secures-9-7bn-AI-Cloud-Contract-with-Microsoft.html
WULF,2026-07-04,High - SEC 10-K,"TeraWulf's 2025 Form 10-K says it is building a contracted HPC platform from large power/data-center campuses, not only bitcoin mining.",The filing says Lake Mariner and Abernathy have contracted 522 MW of critical IT load with long-dated revenue visibility.,The filing references credit-enhanced counterparties but the extracted text should not be used to claim a specific named end customer. Do not rely on XBRL labels alone for customer names.,"The filing says the Cayuga site could support up to 400 MW gross capacity, or about 320 MW contractual critical IT load, after permitting and development.","This is a speculative AI/HPC power-secured name. It can score well on physical power pipeline but must be flagged high risk because execution, financing, and customer concentration matter.",https://www.sec.gov/Archives/edgar/data/1083301/000108330126000031/wulf-20251231.htm;https://investors.terawulf.com/
CORZ,2026-07-04,High - SEC 10-K,Core Scientific's 2025 Form 10-K says it owned or leased 10 data centers in seven U.S. states with about 1.4 GW gross utility power capacity and 920 MW total leasable customer power capacity.,The filing says CoreWeave leases grew from a 16 MW Austin contract to 200 MW and then to about 590 MW of leased power capacity through options.,CoreWeave is a named public customer in the 10-K.,The company says it intends to convert every MW in its portfolio to high-density colocation infrastructure over the next three years while continuing mining during conversion.,"This is one of the clearest crypto-to-HPC conversion stories, but it is still risky because 2025 revenue was mostly digital assets and the company has bankruptcy history.",https://www.sec.gov/Archives/edgar/data/1839341/000162828026013305/core-20251231.htm;https://investors.corescientific.com/
HUT,2026-07-04,High - SEC 10-K,"Hut 8's 2025 Form 10-K reorganized the business into Power, Digital Infrastructure, Compute, and Other.",The filing does not show a simple AI lease table yet. It is more of a power and site-development story.,No named AI data-center tenant is confirmed in the extracted 10-K text for this dashboard row.,"The 10-K says Hut 8 had 1,020 MW of energy capacity under management across 15 sites. It is developing an AI data center at River Bend in Louisiana to commercialize 330 MW of utility capacity, targeted for initial delivery and commissioning in Q2 2027.","Hut 8 also says it is advancing commercialization of 1,230 MW of utility capacity under development. Good power optionality, but very speculative until AI leases are clearer.",https://www.sec.gov/Archives/edgar/data/1964789/000110465926019392/hut-20251231x10k.htm;https://hut8.com/investors/
BTDR,2026-07-04,Medium-high - SEC 20-F; named AI lease not confirmed in filing,"Bitdeer's 2025 Form 20-F is still heavily tied to bitcoin mining, mining rigs, datacenters, and a growing AI infrastructure / AI cloud effort. It acquired Troll Housing AS and Tydal Data Center AS in Norway in 2024.",The filing warns that delays in converting mining datacenters to AI datacenters or building new datacenters could hurt the business. A large named AI customer lease was not confirmed in the extracted 20-F.,The annual filing does not give a clean named AI tenant list in the extracted text. Do not claim a named customer without a company release.,"The filing confirms the Norway/Tydal data-center acquisition and defines colocation, AI, GPU, HPC, and MW. The filing does not give a clean current AI MW lease table by site.","This is a high-risk bitcoin-miner-to-AI-infrastructure transition. It needs capital, power, build execution, and real AI leases.",https://www.sec.gov/Archives/edgar/data/1899123/000121390026049770/ea0282628-20f_bitdeer.htm;https://ir.bitdeer.com/
DBRG,2026-07-04,High - SEC 10-K,"DigitalBridge's 2025 Form 10-K says it is a leading global investment manager in digital infrastructure, deploying capital across data centers, cell towers, and fiber networks.","Leasing happens at portfolio-company level, not directly at the public ticker level.",No simple DBRG-level data-center customer list applies.,"The filing says DBRG had $41.0 billion of fee-earning equity under management at 31 Dec 2025. It is indirect exposure, not a data-center REIT with public MW leasing.","Use DBRG as an asset-manager/data-infrastructure exposure, not as a direct landlord comparison to EQIX/DLR.",https://www.sec.gov/Archives/edgar/data/1679688/000167968826000021/dbrg-20251231.htm;https://www.digitalbridge.com/
BX,2026-07-04,High - SEC 10-K,"Blackstone's 2025 Form 10-K says its real-estate funds have made significant investments in logistics, data centers, rental housing, hospitality, office, retail, and real-estate operating companies.","Data-center leases are held through funds and portfolio companies, not directly at BX shareholder level.",No ticker-level data-center tenant list applies.,"The filing discusses digital infrastructure risks, including data-center competition, AI technology changes, and local opposition.","BX is very indirect. It can benefit from the data-center boom, but the stock is driven by the whole alternative-asset-management business.",https://www.sec.gov/Archives/edgar/data/1393818/000119312526082531/d48618d10k.htm;https://www.blackstone.com/
BAM,2026-07-04,High - SEC 10-K,"Brookfield Asset Management's 2025 Form 10-K defines Data4 and says its infrastructure investments include businesses that transmit and store data globally, including telecom towers, fiber optic cable, and data centers.","Data-center leasing is inside funds/portfolio companies, not at BAM public-company level.",No BAM-level data-center tenant list applies.,"The annual report confirms exposure to digital infrastructure and data centers, but not a public MW table for BAM shareholders.","BAM is an asset-light manager. It is a broad manager exposure to infrastructure, not a pure data-center stock.",https://www.sec.gov/Archives/edgar/data/1937926/000162828026013098/bam-20251231.htm;https://bam.brookfield.com/
BN,2026-07-04,Medium-high - SEC 40-F,"Brookfield Corporation is the broader Brookfield parent/holding company. Its filing shows broad infrastructure, real estate, renewable power, private equity, and asset-management exposure.","Data-center leases are not direct BN-level disclosures. They sit in operating companies, funds, and investees.",No BN-level data-center tenant list applies.,"The filing includes infrastructure and network infrastructure categories, but not a clean public data-center MW table for BN.","BN is broad and diluted. It may benefit from Brookfield's data-center and power themes, but it is not a focused data-center pitch.",https://www.sec.gov/Archives/edgar/data/1001085/000100108526000006/bn-20251231.htm;https://bn.brookfield.com/
KKR,2026-07-04,Medium-high - SEC 10-K,"KKR is a broad alternative asset manager with real assets, infrastructure, credit, insurance, and private equity exposure. Its 2025 10-K is not a focused data-center disclosure.","Any data-center leasing sits inside funds/portfolio companies, not at KKR public ticker level.",No KKR-level data-center tenant list applies.,"The filing supports infrastructure/real-assets exposure, but it does not provide a clean data-center MW or lease table.","KKR is useful only as indirect exposure. It should not be compared directly with pure operators like EQIX, DLR, NEXTDC, or Digital Core.",https://www.sec.gov/Archives/edgar/data/1404912/000140491226000007/kkr-20251231.htm;https://www.kkr.com/
